YLR331C	Jumonji Interacting Protein
YNL329C	AAA ATPase
YNL328C	chaperonin
YNL327W	cell-cycle regulation protein, may be involved in the correct timing of cell separation after cytokinesis
YNL326C	likely functions in pathway(s) outside Ras; not essential for vegetive growth
YNL325C	FIG4 expression is induced by mating factor.
YNL324W	Hypothetical ORF
YNL323W	membrane glycoprotein
YNL322C	cell wall beta-glucan assembly
YMR316C-B	Hypothetical ORF
YMR317W	Hypothetical ORF
YMR318C	medium chain alcohol dehydrogenase
YMR319C	low affinity Fe2+ transport protein
YMR320W	Hypothetical ORF
YMR321C	Hypothetical ORF
YMR322C	
YMR323W	Hypothetical ORF
YMR324C	Hypothetical ORF
YMR325W	Hypothetical ORF
YML081C-A	ATP synthase associated protein
YMR194C-A	Hypothetical ORF
YML058w-a	Transcription of HUG1 is induced in response to DNA damage and replication arrest.
YMR122w-a	Hypothetical ORF
YMR122w-a	Hypothetical ORF
YMR298W	Protein required for cell viability
YMR299C	Hypothetical ORF
YMR300C	phosphoribosylpyrophosphate amidotransferase
YMR301C	ABC transporter
YMR302C	integral membrane protein
YMR303C	alcohol dehydrogenase II
YMR304W	deubiquitinating enzyme (putative)
YMR304C-A	Hypothetical ORF
YMR305C	soluble cell wall protein
YMR306W	Protein with similarity to Gls1p and Gls2p (GB:Z49212)
YMR306C-A	Hypothetical ORF
YMR307W	cell surface glycoprotein 115-120 kDa
YMR308C	karyopherin
YMR309C	translation initiation factor eIF3 subunit
YMR310C	Hypothetical ORF
YMR311C	protein phosphatase 1 (Glc7p) regulator
YMR312W	RNA polymerase II Elongator protein subunit
YMR313C	triacylglycerol lipase
YMR314W	20S proteasome alpha-type subunit
YMR315W	Hypothetical ORF
YMR316W	may be involved in invasive growth, pseudohyphal growth
YMR316C-A	Hypothetical ORF
YMR277W	TFIIF interacting component of CTD phosphatase
YMR278W	Hypothetical ORF
YMR279C	Hypothetical ORF
YMR280C	zinc-cluster protein involved in activating gluconeogenic genes; related to Gal4p
YMR281W	N-acetylglucosaminylphosphatidylinositol de-N-acetylase
YMR282C	basic hydrophilic 67.5 kDa protein
YMR283C	initiator methionine tRNA 2'-O-ribosyl phosphate transferase
YMR284W	DNA binding protein
YMR285C	RNase
YMR286W	ribosomal protein (YmL33) (E. coli L30)
YMR287C	3'-5' exonuclease complex component
YMR288W	U2-snRNP associated splicing factor that forms extensive associations with the branch site-3' splice site-3' exon region upon prespliceosome formation; ortholog of the mammalian U2 snRNP-associated splicing factor SAP155
YMR289W	4-amino-4-deoxychorismate lyase
YMR290C	RNA-dependent helicase (putative)
YMR290W-A	Protein required for cell viability
YMR291W	Hypothetical ORF
YMR292W	membrane protein
YMR293C	protein similar to bacterial glutamyl-tRNA amidotransferases
YMR294W	coiled-coil domain protein required for proper nuclear migration during mitosis (but not during conjugation)
YMR294W-A	Hypothetical ORF
YMR295C	Hypothetical ORF
YMR296C	serine palmitoyltransferase component
YMR297W	carboxypeptidase Y (proteinase C)
YMR255W	Great for FULL DEAD box protein activity
YMR256C	cytochrome c oxidase subunit VII
YMR257C	translational activator of cytochrome C oxidase subunit II
YMR258C	Hypothetical ORF
YMR259C	Hypothetical ORF
YMR260C	translation initiation factor eIF1A
YMR261C	trehalose-6-phosphate synthase/phosphatase complex 115 kDa regulatory subunit
YMR262W	Hypothetical ORF
YMR263W	
YMR264W	Ubc7p binding and recruitment protein
YMR265C	Hypothetical ORF
YMR266W	Overexpression Rescues sro7/sop1 in NaCl. Encodes a membrane protein.
YMR267W	inorganic pyrophosphatase
YMR268C	U4/U6 snRNP-associated protein
YMR269W	protein possibly involved in protein synthesis
YMR270C	upstream activation factor subunit
YMR271C	orotate phosphoribosyltransferase 2
YMR272C	desaturase|hydroxylase
YMR273C	Negative regulator of cell polarity
YMR274C	protease
YMR275C	BUL1p is putatively involved in specifying ubiquitination substrates by binding ubiquitin ligase RSP5p under specific conditions
YMR276W	ubiquitin-like protein
YMR232W	Involved in cell fusion during mating, also required for the alignment of parental nuclei before nuclear fusion
YMR233W	Interacts with Top1p in 2-hybrid assay.
YMR234W	ribonuclease H
YMR235C	GTPase activating protein (GAP) for Gsp1p
YMR236W	TFIID subunit
YMR237W	Hypothetical ORF
YMR238W	Protein required for filamentous growth, cell polarity, and cellular elongation
YMR239C	ribonuclease III
YMR240C	U2 snRNP protein
YMR241W	DNA binding protein|mtDNA stabilizing protein, mitochondrial inner membrane protein with low homology to RIM2
YMR242C	ribosomal protein L20A (L18A)
YMR243C	Zinc- and cadmium-resistance protein
YMR244W	Hypothetical ORF
YMR244C-A	Hypothetical ORF
YMR245W	Hypothetical ORF
YMR246W	long chain fatty acyl:CoA synthetase|long-chain fatty acid:CoA ligase
YMR247C	Hypothetical ORF
YMR250W	glutamate decarboxylase
YMR251W	Hypothetical ORF
YMR251W-A	hyperosmolarity-responsive gene
YMR252C	Hypothetical ORF
YMR253C	Hypothetical ORF
YMR254C	Hypothetical ORF
YMR212C	PHO _E_ighty _F_ive _R_equiring
YMR213W	protein complex component associated with the splicing factor Prp19p
YMR214W	DnaJ homolog
YMR215W	Hypothetical ORF
YMR216C	SRPK1-like Kinase in Yeast (SRPK1 is a human serine kinase that specifically phosphoryates arginine-serine rich domains found in the SR family of splicing factors.)
YMR217W	GMP synthase
YMR218C	targeting complex (TRAPP) component involved in ER to Golgi membrane traffic; 130 kD subunit
YMR219W	Establishes Silent Chromatin. May be a component of a redundant pathway that functions to localize silencing complexes to the nuclear periphery.
YMR220W	48 kDa phosphomevalonate kinase
YMR221C	Hypothetical ORF
YMR222C	
YMR223W	deubiquitinating enzyme (putative)
YMR224C	Disp. for premeiotic DNA synthesis, but required for both double strand break formation & resection, synaptonemal complexes, meiotic recombination & viable spores. Localizes to discrete sites in rad50 mutants
YMR225C	ribosomal protein (YmL44)
YMR225C	ribosomal protein (YmL44)
YMR226C	NADP(+)-dependent dehydrogenase; acts on serine, L-allo-threonine, and other 3-hydroxy acids
YMR227C	TFIID subunit
YMR228W	mitochondrial RNA polymerase specificity factor
YMR229C	U3 snoRNP protein
YMR230W	ribosomal protein S10B
YMR230W	ribosomal protein S10B
YMR231W	Zn-finger protein (putative)
YMR191W	Hypothetical ORF
YMR192W	Hypothetical ORF
YMR193W	ribosomal protein (YmL24)
YMR193C-A	Hypothetical ORF
YMR194W	ribosomal protein L36A (L39) (YL39)
YMR194W	ribosomal protein L36A (L39) (YL39)
YMR195W	Interacting with the cytoskeleton Involved in chromatin organization and nuclear transport Genetically interacts with TCP1 and ICY2
YMR196W	Hypothetical ORF
YMR197C	interacts with two t-SNARES, Sed5p and Pep12p|v-SNARE
YMR198W	Kar3-binding protein
YMR199W	G1 cyclin
YMR200W	membrane protein (putative)
YMR201C	human xeroderma pigmentosum group A DNA repair gene homolog
YMR202W	C-8 sterol isomerase
YMR203W	forms the outer membrane import channel|mitochondrial outer membrane protein
YMR204C	Hypothetical ORF
YMR205C	phosphofructokinase beta subunit
YMR206W	Hypothetical ORF
YMR207C	Similar to acetyl-coenzyme A carboxylase
YMR208W	mevalonate kinase
YMR209C	Hypothetical ORF
YMR210W	Hypothetical ORF
YMR211W	Protein required for cell viability
YMR171C	Hypothetical ORF
YMR172W	nuclear protein
YMR172C-A	Hypothetical ORF
YMR173W	contains >35 repeats of the amino acid sequence NNNDSYGS|flocculent specific protein
YMR173W-A	Hypothetical ORF
YMR174C	inhibitor of proteinase Pep4p
YMR175W	Salt-Induced Protein
YMR176W	ExtraCellular Mutant
YMR177W	mitochondrial metal transporter (putative)
YMR178W	Hypothetical ORF
YMR179W	non-specific DNA binding protein
YMR180C	RNA triphosphatase
YMR181C	Hypothetical ORF
YMR182C	transcriptional repressor with proline-rich zinc fingers (putative)
YMR183C	t-SNARE
YMR184W	Hypothetical ORF
YMR185W	Protein required for cell viability
YMR186W	chaperonin
YMR186W	chaperonin
YMR187C	Hypothetical ORF
YMR188C	
YMR189W	glycine cleavage system P subunit|glycine decarboxylase complex P subunit|glycine synthase P subunit
YMR190C	DNA helicase signature motifs
YMR152W	protease|similar to E. coli leader peptidase
YMR153W	karyopherin docking complex component of the nuclear pore complex|nuclear pore complex subunit
YMR153C-A	Hypothetical ORF
YMR154C	cysteine protease|similar to E. nidulans palB|calpain-like protease involved in proteolytic processing of Rim1p/Rim101p
YMR155W	Hypothetical ORF
YMR156C	DNA 3' phosphatase
YMR157C	Hypothetical ORF
YMR158W	Mitochondrial Ribosome Protein, Small subunit
YMR158W-A	
YMR159C	autophagy
YMR160W	Hypothetical ORF
YMR161W	Homologous to E coli dnaJ protein
YMR162C	Potential aminophospholipid translocase
YMR163C	Hypothetical ORF
YMR164C	758 amino acid polypeptide with poly-glutamine and poly-asparagine domains
YMR165C	involved in plasmid maintenance
YMR166C	Hypothetical ORF
YMR167W	forms a complex with Pms1p and Msh2p to repair mismatched DNA|mutL homolog
YMR168C	Cbf3 kinetochore protein complex subunit b
YMR169C	aldehyde dehydrogenase
YMR169C	aldehyde dehydrogenase
YMR170C	aldeyhde dehydrogenase
YMR131C	RiboSome Assembly 2
YMR132C	Hypothetical ORF
YMR133W	early sporulation protein
YMR134W	Protein required for cell viability
YMR135C	Dose-dependent Cell cycle Regulator
YMR135W-A	Hypothetical ORF
YMR136W	Similar to GATA-family of DNA binding proteins
YMR137C	interstrand crosslink repair protein
YMR138W	GTP-binding protein
YMR139W	Required for Ime1p phosphorylation, association of the Ime1p-Ume6p meiotic activator, early meiotic gene expression, and sporulation
YMR140W	Sip5 facilitates the interaction between the Reg1Glc7 phosphatase and the Snf1 kinase.
YMR141C	Hypothetical ORF
YMR142C	ribosomal protein L13B
YMR143W	ribosomal protein S16A (rp61R)
YMR143W	ribosomal protein S16A (rp61R)
YMR144W	Hypothetical ORF
YMR145C	Hypothetical ORF
YMR146C	translation initiation factor eIF3 p39 subunit
YMR147W	Hypothetical ORF
YMR148W	Hypothetical ORF
YMR149W	oligosaccharyl transferase glycoprotein complex, delta subunit
YMR150C	inner membrane protease
YMR151W	Product of gene unknown
YMR111C	Hypothetical ORF
YMR112C	RNA polymerase II holoenzyme/mediator subunit 14 kDa
YMR113W	dihydrofolate synthetase
YMR114C	Hypothetical ORF
YMR115W	Hypothetical ORF
YMR116C	G-beta like protein
YMR116C	G-beta like protein
YMR117C	spindle pole component
YMR118C	Hypothetical ORF
YMR119W	Amino acid Sensor-Independent (ASI) genes encode membrane proteins Asi1p, Asi2p and Asi3p. Asi1p and Asi3p have conserved ubiquitin ligase-like RING domains at their C-termini
YMR119W	Amino acid Sensor-Independent (ASI) genes encode membrane proteins Asi1p, Asi2p and Asi3p. Asi1p and Asi3p have conserved ubiquitin ligase-like RING domains at their C-termini
YMR119W-A	Hypothetical ORF
YMR120C	5-aminoimidazole-4-carboxamide ribonucleotide (AICAR) transformylase/IMP cyclohydrolase
YMR121C	ribosomal protein L15B (YL10) (L13B) (rp15R)
YMR122C	Hypothetical ORF
YMR123W	Pichia farinosa Killer toxin Resistance
YMR124W	Hypothetical ORF
YMR125W	Large subunit of the nuclear cap-binding protein complex
YMR126C	Defect at Low Temperature
YMR127C	zinc finger protein
YMR128W	U3 snoRNP protein
YMR129W	membrane glycoprotein|nuclear pore complex subunit
YMR130W	Hypothetical ORF
YMR088C	Hypothetical ORF
YMR089C	ATPase|CDC48/PAS1/SEC18 (AAA) family
YMR090W	Hypothetical ORF
YMR091C	involved in nuclear protein targeting
YMR092C	actin cortical patch component
YMR093W	U3 snoRNP protein
YMR094W	58 kd component (Cbf3c) of the multisubunit 'Cbf3' kinetochore protein complex, which binds to the CDE III element of centromeres
YMR095C	SNZ1 proximal ORF, stationary phase induced gene
YMR096W	highly conserved 35 kDa protein that shows increased expression after entry into stationary phase
YMR097C	GTPase
YMR098C	Hypothetical ORF
YMR099C	Hypothetical ORF
YMR100W	Homolog of samB gene of Aspergillus nidulans (deletion of samB results in mislocalization of septa
YMR101C	cis-prenyltransferase
YMR102C	Hypothetical ORF
YMR103C	Hypothetical ORF
YMR104C	protein kinase
YMR105C	phosphoglucomutase
YMR106C	Ku80 homolog
YMR107W	Hypothetical ORF
YMR108W	acetolactate synthase
YMR109W	myosin I
YMR110C	Hypothetical ORF
YMR068W	Adheres VOraciously (to TOR2)
YMR069W	N-alpha acetyltransferase
YMR070W	2 Cys2-His2 zinc fingers at c-terminus, glutamine and asparagine rich
YMR071C	integral membrane protein
YMR072W	HMG-1 homolog
YMR073C	Hypothetical ORF
YMR074C	Hypothetical ORF
YMR075W	Hypothetical ORF
YMR075C-A	Hypothetical ORF
YMR076C	Precocious Dissociation of Sister chromatids
YMR077C	vaculolar protein sorting (putative)
YMR078C	Chromosome transmission
YMR079W	phosphatidylinositol transfer protein
YMR080C	helicase (putative)
YMR081C	May regulate NAM7 function, possibly at level of mRNA turnover
YMR082C	Hypothetical ORF
YMR083W	alcohol dehydrogenase isoenzyme III
YMR084W	Hypothetical ORF
YMR085W	Hypothetical ORF
YMR086W	Hypothetical ORF
YMR086C-A	Hypothetical ORF
YMR087W	Hypothetical ORF
YMR042W	transcription factor
YMR043W	contains the 56 amino-acid MADS (MCM1, AG, DEFAm SRF)-box motif within its DNA binding domain, plays a central role in the formation of both repressor and activator complexes|transcription factor
YMR044W	Iswi One Complex
YMR047C	nuclear pore complex subunit
YMR048W	Chromosome segregation in meiosis
YMR049C	Eukaryotic Ribosome Biogenesis
YMR052W	Required for arrest in G1 in response to pheromone
YMR052C-A	Hypothetical ORF
YMR053C	binds Sin3p in two-hybrid assay and is part of large protein complex with Sin3p and Stb1p
YMR054W	110 kDa subunit; not in vacuole membrane|vacuolar H-ATPase
YMR055C	Protein required for cell cycle arrest in response to loss of microtubule function
YMR056C	ADP/ATP translocator
YMR057C	Hypothetical ORF
YMR058W	multicopper oxidase
YMR059W	tetrameric tRNA splicing endonuclease 15kDa subunit
YMR060C	heterodimerizes with Tom70p, preferentially recognizes the mature regions of precursor proteins associated with ATP-dependent cytosolic chaperones|mitochondrial import receptor protein
YMR061W	cleavage and polyadenylation factor CF I component involved in pre-mRNA 3'-end processing
YMR062C	acetylornithine acetyltransferase
YMR063W	Regulator of IME2 (RIM) required for IME1 expression
YMR064W	basic hydrophilic 59 kDa protein
YMR065W	coiled-coil membrane protein
YMR066W	Synthesis Of Var
YMR067C	Hypothetical ORF
YMR021C	metal-binding transcriptional activator
YMR022W	ubiquitin-conjugating enzyme
YMR023C	GTPase (putative)
YMR024W	ribosomal protein (YmL3)
YMR025W	Interactor with COP9 signalosome (CSN) complex
YMR026C	C3HC4 zinc-binding integral peroxisomal membrane protein
YMR027W	High level expression reduced Ty3 Transposition
YMR028W	42 kDa protein that physically associates with the PP2A and SIT4 protein phosphatase catalytic subunits
YMR029C	Pheromone Arrest
YMR030W	Hypothetical ORF
YMR031C	Hypothetical ORF
YMR031W-A	Hypothetical ORF
YMR032W	SH3 domain containing-protein required for cytokinesis
YMR033W	actin related protein|chromatin remodeling Snf/Swi complex subunit
YMR034C	Hypothetical ORF
YMR035W	protease
YMR036C	protein phosphatase
YMR037C	zinc finger protein
YMR038C	copper chaperone for superoxide dismutase Sod1p
YMR039C	transcriptional coactivator
YMR040W	Hypothetical ORF
YMR041C	Hypothetical ORF
YML003W	Hypothetical ORF
YML002W	Hypothetical ORF
YML001W	GTP-binding protein|rab family
YMR001C	protein kinase
YMR002W	Hypothetical ORF
YMR003W	Hypothetical ORF
YMR004W	Protein required for sorting proteins to the vacuole
YMR005W	TFIID subunit
YMR006C	lysophospholipase|phospholipase B
YMR007W	Hypothetical ORF
YMR008C	phospholipase B (lypophospholipase)
YMR009W	Hypothetical ORF
YMR010W	Hypothetical ORF
YMR011W	high affinity hexose transporter-2
YMR012W	Sometimes copurifies with translation initiation factor eIF3, but apparently not required for translation initiation
YMR013C	membrane protein|required for core glycosylation
YMR014W	
YMR015C	cytochrome P450|involved in C-22 denaturation of the ergosterol side-chain
YMR016C	transcription factor (putative)
YMR017W	DBF2 interacting protein|SNAP 25 homolog
YMR018W	Hypothetical ORF
YMR019W	binds Sin3p in two-hybrid assay
YMR020W	putatitive amine oxidase
YML021C	uracil DNA glycosylase
YML020W	Hypothetical ORF
YML019W	N-oligosaccharyltransferase complex 37kDa subunit (putative)
YML018C	Hypothetical ORF
YML017W	Polymerase suppressor 2; Suppressors of group II intron-splicing defect.
YML016C	may play a role in regulating osmotic stability
YML015C	TFIID subunit
YML014W	mcm5U/mcm5s2U tRNA carboxyl methyltransferase
YML013W	SEcretion Lowering
YML013C-A	
YML012W	vesicle coat component
YML011C	Hypothetical ORF
YML010W	transcription factor
YML010W	transcription factor
YML010W-A	
YML010W-A	
YML010C-B	
YML009C	ribosomal protein (YmL39)
YML008C	ergosterol synthesis
YML007W	jun-like transcription factor
YML006C	CAAX box containing protein
YML005W	Hypothetical ORF
YML004C	lactoylglutathione lyase (glyoxalase I)
